Sample_name,Well_number,X_mosaic,Y_mosaic,Object_number,Cell_class,CentroidX,CentroidY,CentroidZ,Volume,Compactness,Elongation
dataset_0120,1,1,1,196,lectine,692.1237,733.3384,105.0328,1091.2176,0.2026,1.6651
dataset_0120,1,1,1,197,bodipy,612.2212,195.9355,106.0069,1195.9304,0.2369,1.8541
dataset_0120,1,1,1,198,lectine,778.34,239.2864,106.4234,2212.7468,0.1222,1.2886
dataset_0120,1,1,1,199,lectine,699.3675,387.0171,104.9915,322.4052,0.284,1.6886
dataset_0120,1,1,1,200,lectine,548.2776,448.8968,106.6679,2322.9708,0.06039,1.7324
dataset_0120,1,1,1,201,lectine,493.5432,491.7812,105.9808,1435.6676,0.1495,1.2121
dataset_0120,1,1,1,202,lectine,652.0653,651.8241,106.098,1096.7288,0.2285,1.8521
dataset_0120,1,1,1,203,lectine,769.0587,8.8075,107.2746,1173.8856,0.1547,1.6772
dataset_0120,1,1,1,204,cd34,752.7283,17.049,107.0356,1237.2644,0.2062,1.6625
dataset_0120,1,1,1,205,lectine,743.2349,35.4004,107.5587,1548.6472,0.1812,1.4444
dataset_0120,1,1,1,206,none,693.9985,354.2232,107.083,1826.9628,0.06911,1.4827
dataset_0120,1,1,1,207,lectine,772.4436,87.6482,107.8011,1441.1788,0.2126,1.3581
dataset_0120,1,1,1,208,lectine,799.3437,117.4566,107.9442,2221.0136,0.08624,1.2078
dataset_0120,1,1,1,209,lectine,790.3818,183.0372,108.9088,3262.6304,0.1259,1.9216
dataset_0120,1,1,1,210,lectine,705.0073,384.3125,109.1421,5643.4688,0.04707,1.7819
dataset_0120,1,1,1,211,lectine,654.5365,628.9066,107.7929,1623.0484,0.1442,1.4137
dataset_0120,1,1,1,212,lectine,773.2846,32.6907,108.8767,1452.2012,0.1529,1.296
dataset_0120,1,1,1,213,lectine,770.2434,176.8757,109.0661,1041.6168,0.1443,1.6774
dataset_0120,1,1,1,214,lectine,782.1445,137.0606,110.5361,2364.3048,0.1626,1.3405
dataset_0120,1,1,1,215,none,797.1727,158.7324,110.146,1132.5516,0.1624,1.6181
dataset_0120,1,1,1,216,none,714.7819,214.1008,109.7346,1339.2216,0.1878,1.3475
dataset_0120,1,1,1,217,lectine,741.2153,387.9882,109.2153,934.1484,0.1886,1.1938
dataset_0120,1,1,1,218,lectine,638.7091,577.7304,110.1444,1297.8876,0.1648,1.4581
dataset_0120,1,1,1,219,lectine,672.0656,585.0758,110.3732,1890.3416,0.113,1.7872
dataset_0120,1,1,1,220,bodipy,669.0432,409.4838,110.9676,1019.572,0.2151,2.0592
dataset_0120,1,1,1,221,bodipy,640.2222,599.4167,109,99.2016,0.06989,3.5955
dataset_0120,1,1,1,222,lectine,735.6506,626.7169,112.1045,5197.0616,0.05442,2.48
dataset_0120,1,1,1,223,lectine,611.17,745.9349,111.9376,2074.9668,0.1044,1.1045
dataset_0120,1,1,1,224,lectine,693.0588,514.9706,113.5126,1311.6656,0.2232,2.4427
dataset_0120,1,1,1,225,lectine,697.6372,598.0302,113.0269,2460.7508,0.1901,1.5514
dataset_0120,1,1,1,226,lectine,713.3395,735.0674,113.2581,1184.908,0.2014,2.0339
dataset_0120,1,1,1,227,lectine,773.2268,463.417,115.1191,2405.6388,0.1486,1.5118
dataset_0120,1,1,1,228,lectine,717.1533,426.6179,114.5448,1168.3744,0.1627,1.1411
dataset_0120,1,1,1,229,bodipy,739.0021,702.8142,114.9645,1319.9324,0.2003,1.5809
dataset_0120,1,1,1,230,lectine,789.0896,404.8976,116.2194,1507.3132,0.1291,1.175
dataset_0120,1,1,1,231,lectine,761.6135,793.727,116.0784,1019.572,0.1868,1.4746
dataset_0120,1,1,1,232,bodipy,738.0484,737,116.5161,170.8472,0.1654,1.158
dataset_0120,1,1,1,233,none,344.3043,467.1884,119.5652,190.1364,0.2238,1.3126
dataset_0120,2,2,1,1,none,388.3157,379.716,77.6614,1562.4252,0.1526,2.0788
dataset_0120,2,2,1,2,cd68,57.712,73.5653,83.8715,2573.7304,0.2415,5.1783
dataset_0120,2,2,1,3,none,396.4559,362.1765,79.5441,187.3808,0.2494,1.0331
dataset_0120,2,2,1,4,lectine,77.4334,71.881,87.0567,2918.1804,0.1913,2.5433
dataset_0120,2,2,1,5,bodipy,753.625,7.7292,87.65,661.344,0.1687,1.2585
dataset_0120,2,2,1,6,none,772.1661,29.1433,87.6059,845.9692,0.1202,1.3475
dataset_0120,2,2,1,7,bodipy,162.7889,257.4946,92.0748,2284.3924,0.2704,4.796
dataset_0120,2,2,1,8,bodipy,166.0225,286.8115,93.092,3055.9604,0.2314,2.6903
dataset_0120,2,2,1,9,bodipy,23.2844,375.7006,91.0659,920.3704,0.2095,1.9272
dataset_0120,2,2,1,10,bodipy,30.4583,353.9444,91.6042,793.6128,0.1737,1.6014
dataset_0120,2,2,1,11,none,604.6444,385.3194,92.9222,992.016,0.1587,1.2835
dataset_0120,2,2,1,12,cd68,709.6154,590.8803,92.9957,644.8104,0.1013,1.6745
dataset_0120,2,2,1,13,none,689.5147,607.9779,92.9926,374.7616,0.2076,1.2817
dataset_0120,2,2,1,14,cd68,486.1047,208.2304,94.0262,526.3196,0.1624,1.2002
dataset_0120,2,2,1,15,none,662.9463,449.349,94.1007,410.5844,0.2175,1.521
dataset_0120,2,2,1,16,none,756.3766,559.1818,93.4805,212.1812,0.17,1.2583
dataset_0120,2,2,1,17,none,739.8729,414.7966,94.9068,325.1608,0.17,1.1882
dataset_0120,2,2,1,18,bodipy,400.5689,10.1107,97.5379,1419.134,0.1348,1.4062
dataset_0120,2,2,1,19,cd34,709.3995,724.7872,97.5626,1165.6188,0.1949,2.0003
dataset_0120,2,2,1,20,cd34,722.9146,729.8465,98.0206,1741.5392,0.1895,2.1906
dataset_0120,2,2,1,21,lectine,30.529,44,98.4912,1093.9732,0.2181,2.6032
dataset_0120,2,2,1,22,cd34,697.1426,261.6737,101.0299,4425.4936,0.2099,2.9717
dataset_0120,2,2,1,23,none,682.1136,446.6591,96,121.2464,0.09966,2.4463
dataset_0120,2,2,1,24,lectine,743.0294,728.5441,98.0882,749.5232,0.3038,2.6502
dataset_0120,2,2,1,25,cd34,42.4667,26.7147,99.5387,1033.35,0.2561,2.9089
dataset_0120,2,2,1,26,none,512.4123,358.6228,98.8991,628.2768,0.2093,2.369
dataset_0120,2,2,1,27,lectine,46.1538,39.0747,100.0989,1253.798,0.2117,1.5514
dataset_0120,2,2,1,28,bodipy,147.6987,209.1667,98.9679,429.8736,0.1804,1.0839
dataset_0120,2,2,1,29,cd34,693.9403,649.6343,100.0373,738.5008,0.218,2.0255
dataset_0120,2,2,1,30,lectine,777.6286,13.9824,101.7802,1253.798,0.2314,2.1103
dataset_0120,2,2,1,31,cd34,649.2144,45.3509,102.2775,2402.8832,0.2157,1.8866
dataset_0120,2,2,1,32,cd34,668.7056,91.8262,102.5785,2124.5676,0.2494,2.7778
dataset_0120,2,2,1,33,lectine,800.0696,105.3373,103.634,8952.9444,0.05212,2.0385
dataset_0120,2,2,1,34,none,789.6584,244.597,103.2664,3992.8644,0.1611,1.1668
dataset_0120,2,2,1,35,none,351.1416,545.3035,102.396,953.4376,0.1936,2.296
dataset_0120,2,2,1,36,lectine,437.4161,362.9434,103.5657,1510.0688,0.1371,1.4879
dataset_0120,2,2,1,37,lectine,778.7282,558.058,103.0185,1044.3724,0.1856,1.8301
dataset_0120,2,2,1,38,lectine,672.238,768.0742,103.6638,1262.0648,0.1077,1.9032
dataset_0120,2,2,1,39,none,300.2382,521.1676,103.8529,936.904,0.1954,1.8104
dataset_0120,2,2,1,40,bodipy,151.4405,650.7619,103.4643,462.9408,0.2093,1.6533
dataset_0120,2,2,1,41,lectine,789.4442,55.6286,104.4272,1135.3072,0.1873,1.0437
